央视频道,#genre#









卫视频道,#genre#







湖南卫视,http://106.115.27.13:9901/tsfile/live/1012_1.m3u8
浙江卫视,http://106.115.27.13:9901/tsfile/live/1017_1.m3u8
江苏卫视,http://106.115.27.13:9901/tsfile/live/1015_1.m3u8
东方卫视,http://106.115.27.13:9901/tsfile/live/1016_1.m3u8
山东卫视,http://106.115.27.13:9901/tsfile/live/1043_1.m3u8
北京卫视,http://106.115.27.13:9901/tsfile/live/1011_1.m3u8
河北卫视,http://106.115.27.13:9901/tsfile/live/1040_1.m3u8
辽宁卫视,http://106.115.27.13:9901/tsfile/live/1042_1.m3u8
黑龙江卫视,http://106.115.27.13:9901/tsfile/live/1013_1.m3u8
广东卫视,http://106.115.27.13:9901/tsfile/live/1050_1.m3u8
安徽卫视,http://106.115.27.13:9901/tsfile/live/1041_1.m3u8
深圳卫视,http://106.115.27.13:9901/tsfile/live/1014_1.m3u8
天津卫视,http://106.115.27.13:9901/tsfile/live/1018_1.m3u8
重庆卫视,http://106.115.27.13:9901/tsfile/live/1048_1.m3u8
东南卫视,http://106.115.27.13:9901/tsfile/live/1049_1.m3u8
江西卫视,http://106.115.27.13:9901/tsfile/live/1060_1.m3u8
湖北卫视,http://106.115.27.13:9901/tsfile/live/1046_1.m3u8
四川卫视,http://106.115.27.13:9901/tsfile/live/1059_1.m3u8
贵州卫视,http://106.115.27.13:9901/tsfile/live/1061_1.m3u8
吉林卫视,http://106.115.27.13:9901/tsfile/live/1052_1.m3u8
河南卫视,http://106.115.27.13:9901/tsfile/live/1045_1.m3u8

广西卫视,http://106.115.27.13:9901/tsfile/live/1051_1.m3u8
山西卫视,http://106.115.27.13:9901/tsfile/live/1054_1.m3u8
云南卫视,http://106.115.27.13:9901/tsfile/live/1044_1.m3u8
宁夏卫视,http://106.115.27.13:9901/tsfile/live/1063_1.m3u8
陕西卫视,http://106.115.27.13:9901/tsfile/live/1053_1.m3u8
甘肃卫视,http://106.115.27.13:9901/tsfile/live/1057_1.m3u8
青海卫视,http://106.115.27.13:9901/tsfile/live/1062_1.m3u8
内蒙古卫视,http://106.115.27.13:9901/tsfile/live/1055_1.m3u8
新疆卫视,http://106.115.27.13:9901/tsfile/live/1056_1.m3u8
西藏卫视,http://106.115.27.13:9901/tsfile/live/1064_1.m3u8



江苏卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/jiangsuHD/__op/default/__f//index.m3u8
北京卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/beijingHD/__op/default/__f//index.m3u8
浙江卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/zhejiangHD/__op/default/__f//index.m3u8
东方卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shanghaiHD/__op/default/__f//index.m3u8
深圳卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/shenzhenHD/__op/default/__f//index.m3u8
辽宁卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/liaoningHD/__op/default/__f//index.m3u8
天津卫视,http://baidu.live.cqccn.com/__cl/cg:live/__c/tianjinHD/__op/default/__f//index.m3u8
